,category,headline,authors,link,short_description,date
0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26
32,CRIME,Rachel Dolezal Faces Felony Charges For Welfare Fraud,Carla Herreria,https://www.huffingtonpost.com/entry/rachel-dolezal-charged-welfare-fraud_us_5b075ffae4b0568a8809a8c4,"State prosecutors say almost $84,000 had been deposited into her bank account while she was receiving public assistance.",2018-05-25
40,CRIME,"Man Faces Charges After Pulling Knife, Stun Gun On Muslim Students At McDonald's",Jenna Amatulli,https://www.huffingtonpost.com/entry/man-knife-stun-gun-muslim-students_us_5b084cece4b0802d69cb1ba8,"“We thought we were going to die,"" one of the students said.",2018-05-25
42,CRIME,2 People Injured In Indiana School Shooting,Marina Fang,https://www.huffingtonpost.com/entry/indiana-middle-school-active-shooter_us_5b0811c2e4b0802d69ca90f2,"A male student, believed to be the suspect, has been detained, according to police.",2018-05-25
185,CRIME,Maryland Police Charge 3 Church Leaders With Past Abuse Of At-Risk Teen Girls,Carol Kuruvilla,https://www.huffingtonpost.com/entry/maryland-police-charged-three-church-leaders-abusing-teen-girls_us_5b05bfcfe4b07c4ea10470ce,"The victims, who are now adults, were enrolled in a church-run program designed to give troubled teens a safe place to live.",2018-05-23
226,CRIME,Florida Police Report 2 Dead After Standoff At Panama City Apartment Complex,"Sebastian Murdock, Hayley Miller, and Doha Madani",https://www.huffingtonpost.com/entry/police-respond-to-active-shooter-reports-in-panama-city-florida_us_5b0459a3e4b0740c25e5f631,The gunman was found dead after soaking his apartment in gasoline.,2018-05-22
313,CRIME,"'This Isn’t Pakistan, Bitch': Video Captures Driver’s Racist Rant",Rowaida Abdelaziz,https://www.huffingtonpost.com/entry/this-isnt-pakistan-video-racist_us_5b02db07e4b07309e05ac472,A case of road rage in Texas quickly escalated into a hateful and xenophobic diatribe.,2018-05-21
360,CRIME,These Are The Victims Of The Santa Fe High School Shooting,"Sebastian Murdock, Antonia Blumberg, and Jenna Amatulli",https://www.huffingtonpost.com/entry/victims-santa-fe-high-school-shooting_us_5aff1969e4b0a046186b658d,Authorities confirmed the deaths of 10 people in the mass shooting. Here are their stories.,2018-05-19
410,CRIME,"Hospice Overdosed Patients To 'Hasten Their Deaths,' Former Health Care Executive Admits",Carol Kuruvilla,https://www.huffingtonpost.com/entry/hospice-overdosed-patients-to-hasten-their-deaths-former-health-care-executive-alleges_us_5aff1d4ae4b0a046186b6954,Federal prosecutors allege Melanie Murphey and others at Novus Health Services in Texas were trying to maximize profits.,2018-05-18
412,CRIME,Former WWF Wrestler Severely Beaten Outside California Home,David Lohr,https://www.huffingtonpost.com/entry/former-wwf-wrestler-severely-beaten-outside-california-home_us_5aff14c9e4b0a046186b5ce6,"""He's really lucky to be alive,"" a neighbor said.",2018-05-18
